"source_file","Keyword Stats 2026-01-19 at 11_24_39"
"Keyword Stats 2026-01-19 at 11_24_39.csv","2024年12月1日 - 2025年11月30日"
"Keyword Stats 2026-01-19 at 11_24_39.csv","Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025"
"Keyword Stats 2026-01-19 at 11_24_39.csv","すべて	15300.0																						"
"Keyword Stats 2026-01-19 at 11_24_39.csv","日本	15300.0																						"
"Keyword Stats 2026-01-19 at 11_24_39.csv","2027 年 外国 人材	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","it 企業 外国 人 受入れ	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","it 企業 外国 人 採用	JPY		20.0	0%	-50%	中	64	193	1085					20	10	20	20	20	20	20	20	10	10	10	10"
"Keyword Stats 2026-01-19 at 11_24_39.csv","it 外国 人 エンジニア	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","it 外国 人 ビザ	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","it 高度 人材 要件	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","ビジネス 日本 語 研修	JPY		20.0	-50%	0%	中	56	205	1958					10	10	20	20	20	20	20	10	20	20	10	10"
"Keyword Stats 2026-01-19 at 11_24_39.csv","ホテル 外国 人 インバウンド	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","ホテル 外国 人 スタッフ	JPY		20.0	-25%	200%	低	12	131	425					10	10	10	10	20	20	30	20	40	40	20	30"
"Keyword Stats 2026-01-19 at 11_24_39.csv","ホテル 外国 人 採用	JPY		110.0	-18%	-18%	中	56	153	581					90	140	140	140	110	90	110	110	90	110	110	90"
"Keyword Stats 2026-01-19 at 11_24_39.csv","レストラン 外国 人 採用	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","レストラン 外国 人 教育	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","不法 就労 罰則 企業	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","不法 就労 防止	JPY		20.0	100%	100%	低	0							20	10	10	10	10	30	30	10	20	10	10	20"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 epa 手続き	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 外国 人 トラブル	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 外国 人 メリット デメリット	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 外国 人 定着 率	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 外国 人 日本 語	JPY		30.0	0%	-40%	低	14	38	103					10	20	40	50	30	20	40	30	20	30	30	30"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 外国 人 給料	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 外国 人 費用	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 技能 実習 特定 技能	JPY																								"
"Keyword Stats 2026-01-19 at 11_24_39.csv","介護 特定 技能 epa 違い	JPY																								"
